# s Q0 Q2 Q4 Q6 Q8 Q10
1.000000000000000021e-02 1.000000000000000000e+00 1.736591812203118153e-08 3.802647503872294006e-08 1.591116197157017096e-08 5.608044593579231498e-08 -1.568168023163606354e-08
1.013596500938556896e-02 9.999984911282389088e-01 1.784322439791418312e-08 3.907087342051989156e-08 1.634817326931397083e-08 5.762055314182043040e-08 -1.611235096478974532e-08
1.027377866714885950e-02 9.999969665110237660e-01 1.833367519716188007e-08 4.014400180132467607e-08 1.679720652911000060e-08 5.920302068530670719e-08 -1.655486782484006097e-08
1.041346610843927462e-02 9.999954259840713178e-01 1.883763355957386235e-08 4.124665236870812840e-08 1.725859325411396567e-08 6.082901634425344661e-08 -1.700955740799495802e-08
1.055505281015629848e-02 9.999938693813859025e-01 1.935547259479323094e-08 4.237963922953120527e-08 1.773267412057590040e-08 6.249974019809842134e-08 -1.747675534536242400e-08
1.069856459559610611e-02 9.999922965352393556e-01 1.988757576345485241e-08 4.354379901969866585e-08 1.821979923304437576e-08 6.421642552585915396e-08 -1.795680655421033969e-08
1.084402763916134105e-02 9.999907072761549109e-01 2.043433716605641641e-08 4.473999153056595603e-08 1.872032838654187103e-08 6.598033972878906497e-08 -1.845006549608540329e-08
1.099146847113493392e-02 9.999891014328868843e-01 2.099616184017732388e-08 4.596910035335699104e-08 1.923463133627942015e-08 6.779278527954492494e-08 -1.895689644235059421e-08
1.114091398251883941e-02 9.999874788324050190e-01 2.157346606589956398e-08 4.723203354126185819e-08 1.976308807477223835e-08 6.965510069737566168e-08 -1.947767374700437386e-08
1.129239142993853674e-02 9.999858392998736134e-01 2.216667765839619412e-08 4.852972430309110273e-08 2.030608908256993825e-08 7.156866157908250332e-08 -2.001278217186331448e-08
1.144592844061424926e-02 9.999841826586333138e-01 2.277623637718717349e-08 4.986313165235379305e-08 2.086403575830262826e-08 7.353488151774524427e-08 -2.056261699655399591e-08
1.160155301739971417e-02 9.999825087301814630e-01 2.340259412872869653e-08 5.123324120295636042e-08 2.143734051415220299e-08 7.555521333049508606e-08 -2.112758458255493849e-08
1.175929354388950687e-02 9.999808173341552253e-01 2.404621539417954848e-08 5.264106585816399801e-08 2.202642722259408310e-08 7.763115003593774543e-08 -2.170810249961432487e-08
1.191917878959576627e-02 9.999791082883097149e-01 2.470757755895472855e-08 5.408764658389815928e-08 2.263173150046723053e-08 7.976422600232532845e-08 -2.230459988373351317e-08
1.208123791519533259e-02 9.999773814084995660e-01 2.538717127372691498e-08 5.557405319058695822e-08 2.325370103621982527e-08 8.195601809898666101e-08 -2.291751775930599177e-08
1.224550047784821530e-02 9.999756365086578391e-01 2.608550082555976427e-08 5.710138513682548356e-08 2.389279592628511689e-08 8.420814687985149913e-08 -2.354730937023813921e-08
1.241199643658837636e-02 9.999738734007790342e-01 2.680308451969402953e-08 5.867077235597002632e-08 2.454948902105799746e-08 8.652227780072368179e-08 -2.419444052051452711e-08
1.258075615778781603e-02 9.999720918948943327e-01 2.754045507202794618e-08 6.028337610574050805e-08 2.522426628050344091e-08 8.890012247040911870e-08 -2.485938992423805425e-08
1.275181042069493259e-02 9.999702917990560547e-01 2.829816001262281360e-08 6.194038984153815753e-08 2.591762713969291297e-08 9.134343993673822670e-08 -2.554264956543572867e-08
1.292519042304821064e-02 9.999684729193131227e-01 2.907676210087686258e-08 6.364304011486765573e-08 2.663008488485036889e-08 9.385403800952837295e-08 -2.624472506820258282e-08
1.310092778676621127e-02 9.999666350596913000e-01 2.987683975212324474e-08 6.539258749631127195e-08 2.736216703967663863e-08 9.643377461966738978e-08 -2.696613607695499970e-08
1.327905456371494472e-02 9.999647780221743165e-01 3.069898747662704246e-08 6.719032752516784195e-08 2.811441576283676000e-08 9.908455921743132458e-08 -2.770741664766437863e-08
1.345960324155364221e-02 9.999629016066787779e-01 3.154381633076083571e-08 6.903759168525514467e-08 2.888738825640050326e-08 1.018083542092916052e-07 -2.846911564986342884e-08
1.364260674966003006e-02 9.999610056110362910e-01 3.241195438114435641e-08 7.093574840857211893e-08 2.968165718594625825e-08 1.046071764357112680e-07 -2.925179718012412806e-08
1.382809846513614535e-02 9.999590898309684839e-01 3.330404718184059974e-08 7.288620410700231767e-08 3.049781111240437783e-08 1.074830986901912530e-07 -3.005604098708130274e-08
1.401611221889583273e-02 9.999571540600677988e-01 3.422075826520711573e-08 7.489040423334421039e-08 3.133645493617832358e-08 1.104382512814607467e-07 -3.088244290853124513e-08
1.420668230183496847e-02 9.999551980897735115e-01 3.516276962489306875e-08 7.694983438449386844e-08 3.219821031931740103e-08 1.134748236670071009e-07 -3.173161536525330132e-08
1.439984347108564690e-02 9.999532217093500819e-01 3.613078232128920979e-08 7.906602137240123626e-08 3.308371629217646708e-08 1.165950659925251798e-07 -3.260418764472294810e-08
1.459563095635533526e-02 9.999512247058641723e-01 3.712551688581705293e-08 8.124053445337039771e-08 3.399362953041012315e-08 1.198012909576405957e-07 -3.350080664369852031e-08
1.479408046635224960e-02 9.999492068641615550e-01 3.814771395612918583e-08 8.347498646283235511e-08 3.492862498835016448e-08 1.230958754492242701e-07 -3.442213717820744983e-08
1.499522819529809474e-02 9.999471679668457957e-01 3.919813481915670356e-08 8.577103504736155818e-08 3.588939637511634775e-08 1.264812623644244148e-07 -3.536886253040927833e-08
1.519911082952933937e-02 9.999451077942502764e-01 4.027756199160273813e-08 8.813038391800308044e-08 3.687665667924536480e-08 1.299599624557004449e-07 -3.634168496486274826e-08
1.540576555418826481e-02 9.999430261244209861e-01 4.138679981722395606e-08 9.055478413959128435e-08 3.789113870838855886e-08 1.335345562287919784e-07 -3.734132625961001455e-08
1.561523006000497225e-02 9.999409227330869898e-01 4.252667508078429814e-08 9.304603545577404863e-08 3.893359564395878639e-08 1.372076958931949977e-07 -3.836852825195865152e-08
1.582754255017161313e-02 9.999387973936401108e-01 4.369803763980727687e-08 9.560598765217356873e-08 4.000480161174441904e-08 1.409821073687231588e-07 -3.942405339996319708e-08
1.604274174731007072e-02 9.999366498771079526e-01 4.490176107411464892e-08 9.823654195762185743e-08 4.110555226846473062e-08 1.448605923480577146e-07 -4.050868535957913572e-08
1.626086690053439587e-02 9.999344799521313609e-01 4.613874335395580649e-08 1.009396524851948163e-07 4.223666540498844719e-08 1.488460304178194205e-07 -4.162322957819929293e-08
1.648195779260926142e-02 9.999322873849374460e-01 4.740990752720731466e-08 1.037173277140548592e-07 4.339898156663872507e-08 1.529413812396463187e-07 -4.276851390498768692e-08
1.670605474720572581e-02 9.999300719393168224e-01 4.871620242618318065e-08 1.065716320132461244e-07 4.459336469106333568e-08 1.571496867929561141e-07 -4.394538921848131833e-08
1.693319863625569049e-02 9.999278333765966309e-01 5.005860339452374779e-08 1.095046872084238152e-07 4.582070276408169530e-08 1.614740736808324642e-07 -4.515473007186343625e-08
1.716343088740631198e-02 9.999255714556144481e-01 5.143811301343882627e-08 1.125186742060405115e-07 4.708190845999268501e-08 1.659177555297330041e-07 -4.639743540125488425e-08
