# s Q0 Q2 Q4 Q6 Q8 Q10
1.000000000000000021e-02 1.000000000000000000e+00 1.972359848625198809e-08 7.511185147044349519e-08 4.951522309148047015e-08 5.447711734892841951e-08 3.962194387591405833e-09
1.013596500938556896e-02 9.999975301729401300e-01 2.026567745688129057e-08 7.717469613530451053e-08 5.087503926436840589e-08 5.597322107023026309e-08 4.070998888444912361e-09
1.027377866714885950e-02 9.999950363689678046e-01 2.082268355825672641e-08 7.929428246846643335e-08 5.227225706828490341e-08 5.751047593008864975e-08 4.182795737848105888e-09
1.041346610843927462e-02 9.999925183553837194e-01 2.139502901595563241e-08 8.147217485512880787e-08 5.370790758770100606e-08 5.909001641751255871e-08 4.297667415729501616e-09
1.055505281015629848e-02 9.999899758972305985e-01 2.198313748770041808e-08 8.370998095838881533e-08 5.518305042777640872e-08 6.071300840405084752e-08 4.415698682952456459e-09
1.069856459559610611e-02 9.999874087572730996e-01 2.258744438245982544e-08 8.600935292283788870e-08 5.669877450739129513e-08 6.238065001646521751e-08 4.536976644715723281e-09
1.084402763916134105e-02 9.999848166959732776e-01 2.320839718831207293e-08 8.837198861101758103e-08 5.825619887382173328e-08 6.409417253322300963e-08 4.661590815683404049e-09
1.099146847113493392e-02 9.999821994714718221e-01 2.384645580977916772e-08 9.079963287541350838e-08 5.985647354082416952e-08 6.585484130675265960e-08 4.789633186985460278e-09
1.114091398251883941e-02 9.999795568395619672e-01 2.450209291446641099e-08 9.329407886533282263e-08 6.150078034969662446e-08 6.766395671098677902e-08 4.921198295054058196e-09
1.129239142993853674e-02 9.999768885536689522e-01 2.517579427619796938e-08 9.585716935228288239e-08 6.319033383111634021e-08 6.952285511935175647e-08 5.056383293048258000e-09
1.144592844061424926e-02 9.999741943648268183e-01 2.586805919524119960e-08 9.849079818620797774e-08 6.492638221022014857e-08 7.143290989244364343e-08 5.195288021092710579e-09
1.160155301739971417e-02 9.999714740216542053e-01 2.657940079460784916e-08 1.011969116033957760e-07 6.671020819988192823e-08 7.339553242852513887e-08 5.338015084855284403e-09
1.175929354388950687e-02 9.999687272703321472e-01 2.731034646127806151e-08 1.039775097614025869e-07 6.854313005762158889e-08 7.541217320824288411e-08 5.484669929926730970e-09
1.191917878959576627e-02 9.999659538545799808e-01 2.806143823127164213e-08 1.068346482215665843e-07 7.042650255093960307e-08 7.748432288652348699e-08 5.635360921514426492e-09
1.208123791519533259e-02 9.999631535156308093e-01 2.883323319934198351e-08 1.097704394921543200e-07 7.236171797399780160e-08 7.961351341138727384e-08 5.790199425712216926e-09
1.224550047784821530e-02 9.999603259922089649e-01 2.962630394016353890e-08 1.127870546145350294e-07 7.435020719263849018e-08 8.180131917395222966e-08 5.949299893034263765e-09
1.241199643658837636e-02 9.999574710205043626e-01 3.044123894160394173e-08 1.158867247946003393e-07 7.639344071920406440e-08 8.404935819123493494e-08 6.112779944329609944e-09
1.258075615778781603e-02 9.999545883341484087e-01 3.127864305012705286e-08 1.190717430795738120e-07 7.849292981724988647e-08 8.635929332185343857e-08 6.280760459084837680e-09
1.275181042069493259e-02 9.999516776641895754e-01 3.213913792870252213e-08 1.223444660816046859e-07 8.065022763706911048e-08 8.873283351564135944e-08 6.453365666188089070e-09
1.292519042304821064e-02 9.999487387390673110e-01 3.302336252795105036e-08 1.257073157508872497e-07 8.286693038383530377e-08 9.117173509916193104e-08 6.630723237298791655e-09
1.310092778676621127e-02 9.999457712845883917e-01 3.393197357024794843e-08 1.291627811972109782e-07 8.514467851763984248e-08 9.367780309632637368e-08 6.812964382765049808e-09
1.327905456371494472e-02 9.999427750239002766e-01 3.486564604789088117e-08 1.327134205641141955e-07 8.748515798817299438e-08 9.625289258714173269e-08 7.000223950308492113e-09
1.345960324155364221e-02 9.999397496774651284e-01 3.582507373508123619e-08 1.363618629546452434e-07 8.989010150339153696e-08 9.889891010386598130e-08 7.192640526423723679e-09
1.364260674966003006e-02 9.999366949630346113e-01 3.681096971460985239e-08 1.401108104120813456e-07 9.236128983437903451e-08 1.016178150669976006e-07 7.390356540668792068e-09
1.382809846513614535e-02 9.999336105956234677e-01 3.782406691935201441e-08 1.439630399559585116e-07 9.490055315663082164e-08 1.044116212613566585e-07 7.593518372864934295e-09
1.401611221889583273e-02 9.999304962874824287e-01 3.886511868924986222e-08 1.479214056759497933e-07 9.750977242943434650e-08 1.072823983540950382e-07 7.802276463339116804e-09
1.420668230183496847e-02 9.999273517480726792e-01 3.993489933043376401e-08 1.519888408651322420e-07 1.001908807897742894e-07 1.102322734582885807e-07 8.016785426852017451e-09
1.439984347108564690e-02 9.999241766840374357e-01 4.103420475799189842e-08 1.561683603084595760e-07 1.029458651055096011e-07 1.132634327238600815e-07 8.237204166619584788e-09
1.459563095635533526e-02 9.999209707991747464e-01 4.216385302105737376e-08 1.604630624460165131e-07 1.057767673319596997e-07 1.163781230080699685e-07 8.463695997887544094e-09
1.479408046635224960e-02 9.999177337944117339e-01 4.332468497931802433e-08 1.648761317873598456e-07 1.086856861479655886e-07 1.195786535576680697e-07 8.696428768572294975e-09
1.499522819529809474e-02 9.999144653677743966e-01 4.451756493024287192e-08 1.694108412988939054e-07 1.116747785171257253e-07 1.228673977566619914e-07 8.935574986552643823e-09
1.519911082952933937e-02 9.999111652143616302e-01 4.574338126772961189e-08 1.740705548770255576e-07 1.147462613169291640e-07 1.262467949192252735e-07 9.181311949858388965e-09
1.540576555418826481e-02 9.999078330263150294e-01 4.700304715979128899e-08 1.788587298923049227e-07 1.179024130146312982e-07 1.297193521340539536e-07 9.433821880591685703e-09
1.561523006000497225e-02 9.999044684927916871e-01 4.829750124514885447e-08 1.837789198039814304e-07 1.211455753894936601e-07 1.332876461597566956e-07 9.693292062550615357e-09
1.582754255017161313e-02 9.999010712999345518e-01 4.962770835000788959e-08 1.888347768497722166e-07 1.244781553045474580e-07 1.369543253747566359e-07 9.959914982807430366e-09
1.604274174731007072e-02 9.998976411308431178e-01 5.099466022500420935e-08 1.940300548107164709e-07 1.279026265277958616e-07 1.407221117816108091e-07 1.023388847723434185e-08
1.626086690053439587e-02 9.998941776655452252e-01 5.239937630323071344e-08 1.993686118545138977e-07 1.314215316050920578e-07 1.445938030682110646e-07 1.051541588015548919e-08
1.648195779260926142e-02 9.998906805809649745e-01 5.384290447988824040e-08 2.048544134593393815e-07 1.350374837860034543e-07 1.485722747273083109e-07 1.080470617822953483e-08
