# s Q0 Q2 Q4 Q6 Q8 Q10
1.000000000000000021e-02 1.000000000000000000e+00 3.198094385267368243e-08 5.180385324818137616e-08 1.819388198369354318e-08 2.885751425467048101e-08 -8.991035442062229828e-11
1.013596500938556896e-02 9.999935263127767149e-01 3.285945091455709145e-08 5.322660788507692375e-08 1.869356781609654400e-08 2.965006786995850508e-08 -9.240194277010718786e-11
1.027377866714885950e-02 9.999870019474638161e-01 3.376213067947105321e-08 5.468849894171933888e-08 1.920699886837736083e-08 3.046442281510183955e-08 -9.496308694310781570e-11
1.041346610843927462e-02 9.999804265076571719e-01 3.468964992887254821e-08 5.619060547906117516e-08 1.973455412545273076e-08 3.130118019841929561e-08 -9.759574687464244375e-11
1.055505281015629848e-02 9.999737995938576818e-01 3.564269390414353659e-08 5.773403641210564041e-08 2.027662305769226019e-08 3.216095775918832707e-08 -1.003019384690700849e-10
1.069856459559610611e-02 9.999671208034452974e-01 3.662196682054689971e-08 5.931993134027333033e-08 2.083360591257087710e-08 3.304439033023343647e-08 -1.030837352289288636e-10
1.084402763916134105e-02 9.999603897306571509e-01 3.762819239523823187e-08 6.094946140044267748e-08 2.140591401428547101e-08 3.395213031314623463e-08 -1.059432699313613141e-10
1.099146847113493392e-02 9.999536059665617982e-01 3.866211439047710217e-08 6.262383014451254015e-08 2.199397007198475288e-08 3.488484816716712257e-08 -1.088827363556906416e-10
1.114091398251883941e-02 9.999467690990342383e-01 3.972449717176191858e-08 6.434427444103606468e-08 2.259820849645419457e-08 3.584323291147725197e-08 -1.119043910617351299e-10
1.129239142993853674e-02 9.999398787127318222e-01 4.081612627565930908e-08 6.611206541919001549e-08 2.321907569843172542e-08 3.682799266590270189e-08 -1.150106056120833892e-10
1.144592844061424926e-02 9.999329343890691613e-01 4.193780902471251385e-08 6.792850935519539628e-08 2.385703053290715848e-08 3.783985508542501655e-08 -1.182036668985682893e-10
1.160155301739971417e-02 9.999259357061914821e-01 4.309037509670378735e-08 6.979494875207742440e-08 2.451254447893660795e-08 3.887956805066844153e-08 -1.214860814258127963e-10
1.175929354388950687e-02 9.999188822389529774e-01 4.427467717323148982e-08 7.171276328038570867e-08 2.518610210301461586e-08 3.994790013266154845e-08 -1.248603757527291478e-10
1.191917878959576627e-02 9.999117735588850531e-01 4.549159157477335722e-08 7.368337083059456984e-08 2.587820139547635754e-08 4.104564119394977652e-08 -1.283291489445897857e-10
1.208123791519533259e-02 9.999046092341772329e-01 4.674201891991474746e-08 7.570822857777537296e-08 2.658935414444983014e-08 4.217360298171841527e-08 -1.318950746968077372e-10
1.224550047784821530e-02 9.998973888296460721e-01 4.802688480299250142e-08 7.778883407596069971e-08 2.732008632023755123e-08 4.333261973745759143e-08 -1.355609035222930374e-10
1.241199643658837636e-02 9.998901119067109544e-01 4.934714049110285051e-08 7.992672638373139926e-08 2.807093847066525945e-08 4.452354882402178552e-08 -1.393294650055637137e-10
1.258075615778781603e-02 9.998827780233686680e-01 5.070376364053928076e-08 8.212348722112657338e-08 2.884246612743299748e-08 4.574727137014034469e-08 -1.432036701243229126e-10
1.275181042069493259e-02 9.998753867341640955e-01 5.209775903325786887e-08 8.438074215883855326e-08 2.963524022380642427e-08 4.700469293291421744e-08 -1.471865136407360230e-10
