# s Q0 Q2 Q4 Q6 Q8 Q10
1.000000000000000021e-02 1.000000000000000000e+00 2.239970693149610250e-08 5.483374061274936114e-08 2.086825514077046076e-08 4.516028397635027756e-08 2.191813061826816147e-08
1.013596500938556896e-02 9.999989581786147275e-01 2.301524157917153812e-08 5.633967999090717160e-08 2.144137689298543157e-08 4.640049564103571988e-08 2.252004166397593116e-08
1.027377866714885950e-02 9.999979047730590542e-01 2.364772224401278007e-08 5.788704281228575088e-08 2.203026334092703617e-08 4.767481899814419742e-08 2.313850751824203551e-08
1.041346610843927462e-02 9.999968396545430016e-01 2.429761674573165508e-08 5.947697114629258680e-08 2.263534912678715984e-08 4.898419442606543339e-08 2.377398453321904568e-08
1.055505281015629848e-02 9.999957626928454024e-01 2.496540587138813121e-08 6.111063865759972705e-08 2.325708091710049544e-08 5.032958831448095549e-08 2.442694168294769540e-08
1.069856459559610611e-02 9.999946737562973587e-01 2.565158373707212904e-08 6.278925148485758511e-08 2.389591773716025152e-08 5.171199378760474627e-08 2.509786091426473410e-08
1.084402763916134105e-02 9.999935727117666984e-01 2.635665815950467094e-08 6.451404914339858533e-08 2.455233131456392600e-08 5.313243144716219640e-08 2.578723750728577623e-08
1.099146847113493392e-02 9.999924594246419884e-01 2.708115103836261974e-08 6.628630545388781608e-08 2.522680643263365093e-08 5.459195013671731230e-08 2.649558044624431605e-08
1.114091398251883941e-02 9.999913337588144380e-01 2.782559874913714222e-08 6.810732949644168720e-08 2.591984129352905924e-08 5.609162772695361314e-08 2.722341280049514457e-08
1.129239142993853674e-02 9.999901955766631323e-01 2.859055254990694535e-08 6.997846661731963954e-08 2.663194786895415612e-08 5.763257192619576262e-08 2.797127211706009242e-08
1.144592844061424926e-02 9.999890447390383796e-01 2.937657898597415058e-08 7.190109933583063516e-08 2.736365237495859034e-08 5.921592109890103959e-08 2.873971082054882580e-08
1.160155301739971417e-02 9.999878811052417271e-01 3.018426033302153586e-08 7.387664853359322329e-08 2.811549553005497369e-08 6.084284513631809886e-08 2.952929663136731203e-08
1.175929354388950687e-02 9.999867045330130821e-01 3.101419502551833820e-08 7.590657441889305932e-08 2.888803305188462030e-08 6.251454632224404497e-08 3.034061298856641764e-08
1.191917878959576627e-02 9.999855148785099512e-01 3.186699811096108723e-08 7.799237764809915214e-08 2.968183605158548575e-08 6.423226023793088573e-08 3.117425948817193276e-08
1.208123791519533259e-02 9.999843119962911198e-01 3.274330171410422618e-08 8.013560045228410994e-08 3.049749146255466647e-08 6.599725668928484733e-08 3.203085233303030950e-08
1.224550047784821530e-02 9.999830957392994435e-01 3.364375551419793965e-08 8.233782779525866744e-08 3.133560248116635228e-08 6.781084065990887648e-08 3.291102479518992223e-08
1.241199643658837636e-02 9.999818659588435299e-01 3.456902723590301228e-08 8.460068856464203335e-08 3.219678902006236177e-08 6.967435329132294240e-08 3.381542769146542281e-08
1.258075615778781603e-02 9.999806225045784203e-01 3.551980315393210797e-08 8.692585679606956957e-08 3.308168817405391298e-08 7.158917289044369872e-08 3.474472987222459458e-08
1.275181042069493259e-02 9.999793652244887143e-01 3.649678861184299095e-08 8.931505293156003870e-08 3.399095469902351020e-08 7.355671596516435751e-08 3.569961872380541556e-08
1.292519042304821064e-02 9.999780939648695854e-01 3.750070855580911574e-08 9.177004511404113945e-08 3.492526150458793977e-08 7.557843828967987228e-08 3.668080068536118985e-08
1.310092778676621127e-02 9.999768085703076848e-01 3.853230808305009431e-08 9.429265051723590166e-08 3.588530016021844892e-08 7.765583599889858387e-08 3.768900177981400523e-08
1.327905456371494472e-02 9.999755088836622674e-01 3.959235300617578153e-08 9.688473671395494468e-08 3.687178141597739126e-08 7.979044671444675266e-08 3.872496816013238673e-08
1.345960324155364221e-02 9.999741947460466518e-01 4.068163043315682140e-08 9.954822308206893032e-08 3.788543573759488207e-08 8.198385070166717773e-08 3.978946667064207100e-08
1.364260674966003006e-02 9.999728659968081246e-01 4.180094936393061599e-08 1.022850822506061179e-07 3.892701385681600833e-08 8.423767205962324901e-08 4.088328542434587545e-08
1.382809846513614535e-02 9.999715224735080676e-01 4.295114130375901871e-08 1.050973415862344782e-07 3.999728733711735235e-08 8.655357994432038893e-08 4.200723439635498776e-08
1.401611221889583273e-02 9.999701640119026402e-01 4.413306089410479966e-08 1.079870847219783791e-07 4.109704915549695824e-08 8.893328982666725349e-08 4.316214603417011628e-08
1.420668230183496847e-02 9.999687904459233501e-01 4.534758656379548322e-08 1.109564531537622283e-07 4.222711427766325140e-08 9.137856478821645560e-08 4.434887588558488303e-08
1.439984347108564690e-02 9.999674016076552929e-01 4.659562118545886711e-08 1.140076477549432481e-07 4.338832036408328249e-08 9.389121683948982058e-08 4.556830324105126535e-08
1.459563095635533526e-02 9.999659973273173907e-01 4.787809277752804066e-08 1.171429305900753545e-07 4.458152826576963369e-08 9.647310830434452410e-08 4.682133180106001150e-08
1.479408046635224960e-02 9.999645774332428516e-01 4.919595519883444780e-08 1.203646265213435374e-07 4.580762276530408904e-08 9.912615321388407394e-08 4.810889035516613813e-08
1.499522819529809474e-02 9.999631417518556331e-01 5.055018887679316503e-08 1.236751249906365578e-07 4.706751322263392341e-08 1.018523187547924422e-07 4.943193348390203876e-08
1.519911082952933937e-02 9.999616901076513464e-01 5.194180155325322354e-08 1.270768818251850943e-07 4.836213426225102512e-08 1.046536267550538101e-07 5.079144227952444926e-08
1.540576555418826481e-02 9.999602223231751630e-01 5.337182905187690160e-08 1.305724210950283928e-07 4.969244648009532554e-08 1.075321552122984911e-07 5.218842508743485390e-08
1.561523006000497225e-02 9.999587382190000540e-01 5.484133606689249713e-08 1.341643370218933543e-07 5.105943717002466325e-08 1.104900398644288877e-07 5.362391826810533473e-08
1.582754255017161313e-02 9.999572376137049190e-01 5.635141697466804710e-08 1.378552959429890985e-07 5.246412107118375686e-08 1.135294758054081199e-07 5.509898698090777984e-08
1.604274174731007072e-02 9.999557203238528258e-01 5.790319666808461969e-08 1.416480383296238552e-07 5.390754113623751838e-08 1.166527191461324853e-07 5.661472598980799639e-08
1.626086690053439587e-02 9.999541861639682505e-01 5.949783141474039523e-08 1.455453808631270491e-07 5.539076932141273191e-08 1.198620887224282529e-07 5.817226049191385790e-08
1.648195779260926142e-02 9.999526349465139852e-01 6.113650973959741154e-08 1.495502185695287897e-07 5.691490739890167358e-08 1.231599678513675442e-07 5.977274696945719368e-08
1.670605474720572581e-02 9.999510664818693773e-01 6.282045333276170241e-08 1.536655270146431606e-07 5.848108779225358349e-08 1.265488061372545570e-07 6.141737406586383285e-08
1.693319863625569049e-02 9.999494805783063489e-01 6.455091798299373616e-08 1.578943645609665691e-07 6.009047443529139921e-08 1.300311213284422369e-07 6.310736348647457025e-08
1.716343088740631198e-02 9.999478770419660822e-01 6.632919454072398292e-08 1.622398747144244817e-07 6.174426363280833710e-08 1.336095012300280291e-07 6.484397092566384147e-08
1.739679349157578769e-02 9.999462556768353716e-01 6.815660989491527363e-08 1.667052884095331727e-07 6.344368505989722452e-08 1.372866056559173800e-07 6.662848701655658164e-08
1.763332901061187910e-02 9.999446162847231978e-01 7.003452800478233466e-08 1.712939266159370753e-07 6.519000255944620083e-08 1.410651684651268615e-07 6.846223831458293883e-08
1.787308058505454600e-02 9.999429586652364144e-01 7.196435093395023469e-08 1.760092027611166115e-07 6.698451519381428209e-08 1.449479996269425582e-07 7.034658830204005304e-08
1.811609194200414219e-02 9.999412826157537681e-01 7.394751992764573163e-08 1.808546253512010656e-07 6.882855820983052069e-08 1.489379873589626757e-07 7.228293842449078607e-08
1.836240740309658462e-02 9.999395879314042501e-01 7.598551651796576337e-08 1.858338006401664687e-07 7.072350405462075343e-08 1.530381003229197330e-07 7.427272915588306231e-08
1.861207189258694966e-02 9.999378744050383405e-01 7.807986366078293662e-08 1.909504353749077300e-07 7.267076342031068215e-08 1.572513898828861227e-07 7.631744109392032942e-08
1.886513094554299538e-02 9.999361418272061375e-01 8.023212690503155021e-08 1.962083396179398019e-07 7.467178631827191508e-08 1.615809924273001104e-07 7.841859608637962509e-08
1.912163071615007037e-02 9.999343899861294904e-01 8.244391559557832903e-08 2.016114296506035044e-07 7.672806318400624865e-08 1.660301317571788821e-07 8.057775838952475451e-08
1.938161798612894268e-02 9.999326186676780193e-01 8.471688411043428252e-08 2.071637309585554372e-07 7.884112601334530004e-08 1.706021215419775751e-07 8.279653585932122895e-08
1.964514017326809622e-02 9.999308276553404706e-01 8.705273313340094234e-08 2.128693813021420563e-07 8.101254953095425580e-08 1.753003678452299012e-07 8.507658117648850308e-08
1.991224534007201771e-02 9.999290167302010701e-01 8.945321096317709364e-08 2.187326338740898491e-07 8.324395239206619198e-08 1.801283717219695442e-07 8.741959310635821207e-08
2.018298220252708053e-02 9.999271856709106565e-01 9.192011486273162610e-08 2.247578605725849037e-07 8.553699839571653426e-08 1.850897318930114858e-07 8.982731779529969473e-08
2.045740013898661794e-02 9.999253342536612577e-01 9.445529243382282132e-08 2.309495552395963060e-07 8.789339784682006648e-08 1.901881474806387735e-07 9.230155010042608945e-08
