# s Q0 Q2 Q4 Q6 Q8 Q10
1.000000000000000021e-02 1.000000000000000000e+00 1.784719094984361795e-08 9.574750361328467820e-08 2.597424635075677741e-08 4.098689019051356493e-08 -4.924332606449887984e-09
1.013596500938556896e-02 9.999923709294562535e-01 1.833777096594054210e-08 9.837698959988022894e-08 2.668761410818841132e-08 4.211254586497555206e-08 -5.059559470514072244e-09
1.027377866714885950e-02 9.999846822618809750e-01 1.884186296171428639e-08 1.010788000314950843e-07 2.742060491834537966e-08 4.326916463313598653e-08 -5.198505448497980906e-09
1.041346610843927462e-02 9.999769335322076236e-01 1.935984020477915311e-08 1.038549287682629093e-07 2.817375982756931528e-08 4.445760016643531533e-08 -5.341273056572981298e-09
1.055505281015629848e-02 9.999691242717487771e-01 1.989208631955058890e-08 1.067074248233315956e-07 2.894763485132072201e-08 4.567872975307753604e-08 -5.487967646100140885e-09
1.069856459559610611e-02 9.999612540081677103e-01 2.043899557653966278e-08 1.096383938964662549e-07 2.974280139053955512e-08 4.693345495484959389e-08 -5.638697482443553487e-09
1.084402763916134105e-02 9.999533222654497511e-01 2.100097318960002225e-08 1.126499999495094707e-07 3.055984665937493611e-08 4.822270228187275095e-08 -5.793573825933785025e-09
1.099146847113493392e-02 9.999453285638735256e-01 2.157843562177007316e-08 1.157444668271137006e-07 3.139937412521113886e-08 4.954742388674867382e-08 -5.952711015156892055e-09
1.114091398251883941e-02 9.999372724199830920e-01 2.217181089956142807e-08 1.189240799219086568e-07 3.226200396076343137e-08 5.090859827774230890e-08 -6.116226552525911205e-09
1.129239142993853674e-02 9.999291533465582971e-01 2.278153892190716256e-08 1.221911879269314762e-07 3.314837347360669660e-08 5.230723101950383092e-08 -6.284241212649203921e-09
1.144592844061424926e-02 9.999209708525865770e-01 2.340807184987786593e-08 1.255482044362767131e-07 3.405913772582585589e-08 5.374435561799471425e-08 -6.456879051330074834e-09
1.160155301739971417e-02 9.999127244432315376e-01 2.405187436232530353e-08 1.289976099937387221e-07 3.499496981265537731e-08 5.522103409888377724e-08 -6.634267620722504867e-09
1.175929354388950687e-02 9.999044136198056432e-01 2.471342406466112588e-08 1.325419537936955852e-07 3.595656150935720587e-08 5.673835793541681145e-08 -6.816537983479216176e-09
1.191917878959576627e-02 9.998960378797392412e-01 2.539321183587310179e-08 1.361838556336979062e-07 3.694462375512007192e-08 5.829744883489249652e-08 -7.003824831400894188e-09
1.208123791519533259e-02 9.998875967165501422e-01 2.609174220005223168e-08 1.399260078805971876e-07 3.795988718690795524e-08 5.989945958078661284e-08 -7.196266586466216094e-09
1.224550047784821530e-02 9.998790896198143097e-01 2.680953370835498255e-08 1.437711774914797281e-07 3.900310268819701929e-08 6.154557489835745670e-08 -7.394005504676669908e-09
1.241199643658837636e-02 9.998705160751342191e-01 2.754711933193778599e-08 1.477222080922359498e-07 4.007504195336930763e-08 6.323701234494526359e-08 -7.597187782861547722e-09
1.258075615778781603e-02 9.998618755641092148e-01 2.830504686590611099e-08 1.517820221139388777e-07 4.117649806781180755e-08 6.497502322504081377e-08 -7.805963668451934182e-09
1.275181042069493259e-02 9.998531675643034244e-01 2.908387934462055131e-08 1.559536229888152512e-07 4.230828610420525813e-08 6.676089353088746226e-08 -8.020487572315163155e-09
1.292519042304821064e-02 9.998443915492155609e-01 2.988419546902117209e-08 1.602400974092975619e-07 4.347124373595010906e-08 6.859594491011105040e-08 -8.240918184828995911e-09
1.310092778676621127e-02 9.998355469882460600e-01 3.070659004572081350e-08 1.646446176487606561e-07 4.466623186735207842e-08 7.048153565978096453e-08 -8.467418595123507323e-09
1.327905456371494472e-02 9.998266333466669931e-01 3.155167443886985127e-08 1.691704439492587242e-07 4.589413528201019049e-08 7.241906174917886161e-08 -8.700156413763865559e-09
1.345960324155364221e-02 9.998176500855884274e-01 3.242007703456794714e-08 1.738209269749922308e-07 4.715586330906405321e-08 7.440995787073273600e-08 -8.939303898808461979e-09
1.364260674966003006e-02 9.998085966619276732e-01 3.331244371863049457e-08 1.785995103357710010e-07 4.845235050845876574e-08 7.645569852094328471e-08 -9.185038085461554380e-09
1.382809846513614535e-02 9.997994725283766426e-01 3.422943836780697339e-08 1.835097331809242964e-07 4.978455737535097725e-08 7.855779911149704444e-08 -9.437540919343405977e-09
1.401611221889583273e-02 9.997902771333671001e-01 3.517174335506672176e-08 1.885552328668842011e-07 5.115347106453294162e-08 8.071781711194897616e-08 -9.696999393543624256e-09
1.420668230183496847e-02 9.997810099210406865e-01 3.614006005468024231e-08 1.937397477386284747e-07 5.256010609952113312e-08 8.293735319134578187e-08 -9.963605709836088169e-09
1.439984347108564690e-02 9.997716703312136133e-01 3.713510943403210941e-08 1.990671197903387027e-07 5.400550528019293867e-08 8.521805255733974417e-08 -1.023755734211600834e-08
1.459563095635533526e-02 9.997622577993440229e-01 3.815763251704075469e-08 2.045412978034785631e-07 5.549074025741391508e-08 8.756160600138766527e-08 -1.051905730750318807e-08
1.479408046635224960e-02 9.997527717564981264e-01 3.920839100662676061e-08 2.101663401677545773e-07 5.701691248423471890e-08 8.996975130655921081e-08 -1.080831423800994091e-08
1.499522819529809474e-02 9.997432116293162307e-01 4.028816785166849401e-08 2.159464179861768469e-07 5.858515401291784235e-08 9.244427452783913439e-08 -1.110554255837256921e-08
1.519911082952933937e-02 9.997335768399779887e-01 4.139776784465551737e-08 2.218858182256739366e-07 6.019662835061903827e-08 9.498701134180269138e-08 -1.141096264790629593e-08
1.540576555418826481e-02 9.997238668061690925e-01 4.253801823664186707e-08 2.279889469581079844e-07 6.185253133963494389e-08 9.759984843503154738e-08 -1.172480100700164568e-08
1.561523006000497225e-02 9.997140809410453022e-01 4.370976936938193767e-08 2.342603326909610068e-07 6.355409206202119904e-08 1.002847249309596243e-07 -1.204729042822440525e-08
1.582754255017161313e-02 9.997042186531978070e-01 4.491389532580839485e-08 2.407046297938028967e-07 6.530257377024026400e-08 1.030436338577666132e-07 -1.237867017233314310e-08
1.604274174731007072e-02 9.996942793466178090e-01 4.615129459884227015e-08 2.473266220203760198e-07 6.709927484379647291e-08 1.058786236572506100e-07 -1.271918614920538240e-08
1.626086690053439587e-02 9.996842624206614403e-01 4.742289077936368880e-08 2.541312261306243524e-07 6.894552977303422944e-08 1.087917997365345193e-07 -1.306909110389465122e-08
1.648195779260926142e-02 9.996741672700134584e-01 4.872963326383844047e-08 2.611234956152011122e-07 7.084271017078906767e-08 1.117853260636928768e-07 -1.342864480794832551e-08
1.670605474720572581e-02 9.996639932846512755e-01 5.007249798215846848e-08 2.683086245253212410e-07 7.279222581267128544e-08 1.148614268085286646e-07 -1.379811425613326439e-08
1.693319863625569049e-02 9.996537398498082094e-01 5.145248814617962897e-08 2.756919514104200594e-07 7.479552570665247060e-08 1.180223880295560377e-07 -1.417777386869542783e-08
1.716343088740631198e-02 9.996434063459375130e-01 5.287063500549092106e-08 2.832789634080617518e-07 7.685409915775742106e-08 1.212705593763839766e-07 -1.456790571975059466e-08
1.739679349157578769e-02 9.996329921486741821e-01 5.432799869684230063e-08 2.910753002486650311e-07 7.896947704099027394e-08 1.246083560048584428e-07 -1.496879966972316522e-08
1.763332901061187910e-02 9.996224966288002056e-01 5.582566897267857851e-08 2.990867587762509093e-07 8.114323275175119891e-08 1.280382602148425898e-07 -1.538075370743115549e-08
1.787308058505454600e-02 9.996119191522034875e-01 5.736476609667457947e-08 3.073192971930349632e-07 8.337698354396560159e-08 1.315628234681709833e-07 -1.580407409483691983e-08
1.811609194200414219e-02 9.996012590798427633e-01 5.894644169138664842e-08 3.157790396272799311e-07 8.567239172469750402e-08 1.351846682958924206e-07 -1.623907561996981583e-08
1.836240740309658462e-02 9.995905157677090758e-01 6.057187962501072832e-08 3.244722807899625195e-07 8.803116591918566770e-08 1.389064902934367940e-07 -1.668608183609101601e-08
1.861207189258694966e-02 9.995796885667858067e-01 6.224229692361147298e-08 3.334054907637504087e-07 9.045506237184975174e-08 1.427310601724972161e-07 -1.714542530764905220e-08
1.886513094554299538e-02 9.995687768230123726e-01 6.395894470942556865e-08 3.425853199273445475e-07 9.294588628409773637e-08 1.466612258709373696e-07 -1.761744786318234350e-08
1.912163071615007037e-02 9.995577798772428135e-01 6.572310916621143291e-08 3.520186040201997935e-07 9.550549319029871885e-08 1.506999147228741946e-07 -1.810250085542613003e-08
1.938161798612894268e-02 9.995466970652088223e-01 6.753611253225929067e-08 3.617123693507255774e-07 9.813579037276546755e-08 1.548501356902675042e-07 -1.860094542878254821e-08
1.964514017326809622e-02 9.995355277174782227e-01 6.939931412194639284e-08 3.716738381524921271e-07 1.008387383169789159e-07 1.591149816579566278e-07 -1.911315279438589827e-08
1.991224534007201771e-02 9.995242711594164442e-01 7.131411137666766846e-08 3.819104340926873174e-07 1.036163522082087974e-07 1.634976317939651527e-07 -1.963950451298076177e-08
2.018298220252708053e-02 9.995129267111454441e-01 7.328194093170580314e-08 3.924297879773288979e-07 1.064707034353533179e-07 1.680013539442985943e-07 -2.018039280621307156e-08
2.045740013898661794e-02 9.995014936875035172e-01 7.530427978590327110e-08 4.032397434180464114e-07 1.094039213157355903e-07 1.726295072605527506e-07 -2.073622077436610835e-08
2.073554919917678166e-02 9.994899713980051059e-01 7.738264635985732714e-08 4.143483630630020382e-07 1.124181945104868621e-07 1.773855445708009295e-07 -2.130740282620956463e-08
2.101748011332488231e-02 9.994783591467986117e-01 7.951860173073519860e-08 4.257639346007586990e-07 1.155157728410067383e-07 1.822730151517183794e-07 -2.189436491403163635e-08
2.130324430141180420e-02 9.994666562326260939e-01 8.171375082906848296e-08 4.374949771377076886e-07 1.186989689755985588e-07 1.872955674115731529e-07 -2.249754487942125799e-08
2.159289388255025699e-02 9.994548619487795271e-01 8.396974368506037982e-08 4.495502477174154076e-07 1.219701602009823343e-07 1.924569516839210782e-07 -2.311739278801498403e-08
2.188648168449050871e-02 9.994429755830619433e-01 8.628827671068436640e-08 4.619387480248093076e-07 1.253317902440775261e-07 1.977610231005530783e-07 -2.375437127372679795e-08
2.218406125325540421e-02 9.994309964177426897e-01 8.867109401899060828e-08 4.746697312824931426e-07 1.287863711460385337e-07 2.032117445468176085e-07 -2.440895589283468813e-08
2.248568686290629282e-02 9.994189237295142414e-01 9.111998878140844182e-08 4.877527093430996851e-07 1.323364851896088947e-07 2.088131897010008168e-07 -2.508163548812414526e-08
2.279141352544189481e-02 9.994067567894514559e-01 9.363680462430547201e-08 5.011974599841102565e-07 1.359847868815443528e-07 2.145695461605181326e-07 -2.577291256341791144e-08
2.310129700083160542e-02 9.993944948629671643e-01 9.622343705172009425e-08 5.150140344514244352e-07 1.397340049564110135e-07 2.204851186249088105e-07 -2.648330368918329546e-08
2.341539380718529045e-02 9.993821372097668743e-01 9.888183498138463314e-08 5.292127650177345240e-07 1.435869446158347841e-07 2.265643323344813230e-07 -2.721333981731248260e-08
2.373376123106136701e-02 9.993696830838081357e-01 1.016140021800237569e-07 5.438042731595570004e-07 1.475464894731844377e-07 2.328117362756332055e-07 -2.796356681080945630e-08
2.405645733791497709e-02 9.993571317332523574e-01 1.044219988863480605e-07 5.587994775633255710e-07 1.516156039146112889e-07 2.392320068114851215e-07 -2.873454578153510165e-08
2.438354098268829054e-02 9.993444824004235061e-01 1.073079434077115821e-07 5.742096025642869340e-07 1.557973353463967969e-07 2.458299512488024345e-07 -2.952685354173812246e-08
2.471507182054475185e-02 9.993317343217610338e-01 1.102740137777637504e-07 5.900461867853211986e-07 1.600948165429774472e-07 2.526105115405166955e-07 -3.034108304752227082e-08
2.505111031774929012e-02 9.993188867277748022e-01 1.133224494624291951e-07 6.063210920241114113e-07 1.645112680625330305e-07 2.595787680947490294e-07 -3.117784385505039459e-08
2.539171776269645922e-02 9.993059388430002299e-01 1.164555531152391109e-07 6.230465123936885893e-07 1.690500007315121802e-07 2.667399436924967855e-07 -3.203776258974264857e-08
2.573695627708853448e-02 9.992928898859514408e-01 1.196756923839706363e-07 6.402349837263506375e-07 1.737144182008164212e-07 2.740994075182748623e-07 -3.292148342898132430e-08
2.608688882726556413e-02 9.992797390690744130e-01 1.229853017551782517e-07 6.578993932853108755e-07 1.785080195394255628e-07 2.816626792728692015e-07 -3.382966861891367935e-08
2.644157923568950935e-02 9.992664855987022365e-01 1.263868845250014579e-07 6.760529895567368745e-07 1.834344020813411851e-07 2.894354335698947582e-07 -3.476299890378782511e-08
2.680109219258448860e-02 9.992531286750053754e-01 1.298830146818068859e-07 6.947093927235896178e-07 1.884972639951658260e-07 2.974235041261280012e-07 -3.572217417342866227e-08
2.716549326773531198e-02 9.992396674919462596e-01 1.334763389900105260e-07 7.138826050364430207e-07 1.937004072885426616e-07 3.056328884063054112e-07 -3.670791392225069945e-08
2.753484892244643586e-02 9.992261012372299911e-01 1.371695790611874746e-07 7.335870216855723604e-07 1.990477407175581444e-07 3.140697522336024816e-07 -3.772095782556295857e-08
2.790922652166349938e-02 9.992124290922569374e-01 1.409655335003585282e-07 7.538374419442483619e-07 2.045432828162431916e-07 3.227404345663066702e-07 -3.876206631146042814e-08
2.828869434625969417e-02 9.991986502320752139e-01 1.448670801149838707e-07 7.746490806324949760e-07 2.101911650132903661e-07 3.316514524119524703e-07 -3.983202114914483245e-08
2.867332160548916389e-02 9.991847638253283925e-01 1.488771781886946422e-07 7.960375799115304090e-07 2.159956348387724369e-07 3.408095058833061242e-07 -4.093162605419845406e-08
2.906317844960974034e-02 9.991707690342103154e-01 1.529988708068756287e-07 8.180190214558650963e-07 2.219610591873612928e-07 3.502214833664865939e-07 -4.206170733153627810e-08
2.945833598267730280e-02 9.991566650144125816e-01 1.572352873227166944e-07 8.406099387767714531e-07 2.280919278542102827e-07 3.598944670033636007e-07 -4.322311443452471822e-08
2.985886627551409891e-02 9.991424509150753641e-01 1.615896457502977769e-07 8.638273303036970219e-07 2.343928568142238212e-07 3.698357380004211669e-07 -4.441672074613910416e-08
3.026484237885337242e-02 9.991281258787373387e-01 1.660652553737644552e-07 8.876886724370356258e-07 2.408685919564637639e-07 3.800527824240245331e-07 -4.564342417546475767e-08
3.067633833666272639e-02 9.991136890412845029e-01 1.706655193595595072e-07 9.122119331808979789e-07 2.475240127449804365e-07 3.905532969951736149e-07 -4.690414787552055607e-08
3.109342919964865060e-02 9.990991395318986612e-01 1.753939374602610526e-07 9.374155861291107060e-07 2.543641360221000731e-07 4.013451950856669180e-07 -4.819984096086703855e-08
3.151619103894462426e-02 9.990844764730066885e-01 1.802541087976469182e-07 9.633186248539269064e-07 2.613941199213543174e-07 4.124366128870504345e-07 -4.953147924585348259e-08
3.194470095998537540e-02 9.990696989802277939e-01 1.852497347133079473e-07 9.899405777506687196e-07 2.686192678582483191e-07 4.238359157253142799e-07 -5.090006602454962245e-08
3.237903711656973244e-02 9.990548061623216736e-01 1.903846217752792465e-07 1.017301523110965660e-06 2.760450328147515868e-07 4.355517047230321873e-07 -5.230663277079551022e-08
3.281927872511473943e-02 9.990397971211352202e-01 1.956626847279373504e-07 1.045422105034555357e-06 2.836770213891600792e-07 4.475928233225897150e-07 -5.375224006441508307e-08
3.326550607910352259e-02 9.990246709515495649e-01 2.010879496747604027e-07 1.074323549395677899e-06 2.915209983237939344e-07 4.599683643315687212e-07 -5.523797833703257103e-08
3.371780056372962464e-02 9.990094267414272311e-01 2.066645572816499552e-07 1.104027680476352664e-06 2.995828909828131109e-07 4.726876770049265258e-07 -5.676496874365629717e-08
3.417624467074045075e-02 9.989940635715566231e-01 2.123967660891601083e-07 1.134556938038361460e-06 3.078687939958081226e-07 4.857603743653137794e-07 -5.833436403841988751e-08
3.464092201348251826e-02 9.989785805155996234e-01 2.182889559229335834e-07 1.165934394892113486e-06 3.163849740367123887e-07 4.991963407366160430e-07 -5.994734947578016287e-08
3.511191734215130672e-02 9.989629766400346389e-01 2.243456313900785783e-07 1.198183775012126264e-06 3.251378747052975236e-07 5.130057394622070999e-07 -6.160514375803807143e-08
3.558931655924840037e-02 9.989472510041036424e-01 2.305714255514391880e-07 1.231329471979402639e-06 3.341341217292017258e-07 5.271990210128659588e-07 -6.330899990800555285e-08
3.607320673524882365e-02 9.989314026597544416e-01 2.369711035569547234e-07 1.265396568360028211e-06 3.433805279579769001e-07 5.417869309977454835e-07 -6.506020637283100912e-08
3.656367612448138682e-02 9.989154306515859449e-01 2.435495665349788571e-07 1.300410855242467165e-06 3.528840988633732816e-07 5.567805187422151212e-07 -6.686008795275188619e-08
3.706081418122499083e-02 9.988993340167920953e-01 2.503118555231212767e-07 1.336398852544746470e-06 3.626520380178497529e-07 5.721911459467608742e-07 -6.871000686088135999e-08
3.756471157602369465e-02 9.988831117851031394e-01 2.572631555305815692e-07 1.373387829871628724e-06 3.726917527692244875e-07 5.880304956318334283e-07 -7.061136379284379214e-08
3.807546021222371624e-02 9.988667629787300051e-01 2.644087997064335853e-07 1.411405828016754435e-06 3.830108600447437571e-07 6.043105813096596079e-07 -7.256559904776129340e-08
3.859315324273520503e-02 9.988502866123064594e-01 2.717542737040619620e-07 1.450481680890958761e-06 3.936171925027845483e-07 6.210437565883870700e-07 -7.457419357946232179e-08
3.911788508702192246e-02 9.988336816928294892e-01 2.793052200297908396e-07 1.490645038490230771e-06 4.045188045048050355e-07 6.382427247237205783e-07 -7.663867028413546467e-08
3.964975144832197373e-02 9.988169472196029020e-01 2.870674426671679105e-07 1.531926390128540334e-06 4.157239786225116680e-07 6.559205487830607201e-07 -7.876059511833756975e-08
4.018884933110263014e-02 9.988000821841759302e-01 2.950469117651080294e-07 1.574357088549711990e-06 4.272412321530550173e-07 6.740906619376143713e-07 -8.094157835361510837e-08
4.073527705875248928e-02 9.987830855702850563e-01 3.032497684661793240e-07 1.617969374741401249e-06 4.390793238255690969e-07 6.927668780559311534e-07 -8.318327586707328633e-08
4.128913429151419290e-02 9.987659563537951701e-01 3.116823299509282883e-07 1.662796403272063345e-06 4.512472608817809726e-07 7.119634027713843651e-07 -8.548739036711372926e-08
