# s Q0 Q2 Q4 Q6 Q8 Q10
1.000000000000000021e-02 1.000000000000000000e+00 3.422426745844036832e-08 5.956057788421990446e-08 2.225200320177427664e-08 4.091890004977516179e-08 1.397840553718720608e-05
1.013596500938556896e-02 9.999974342402835337e-01 3.516441610647585644e-08 6.119633165940036324e-08 2.286311928749509143e-08 4.204264888387135804e-08 1.436228061250344767e-05
1.027377866714885950e-02 9.999948442298335349e-01 3.613043433720427222e-08 6.287707953137928680e-08 2.349104479664637762e-08 4.319730677782064557e-08 1.475671381677308425e-05
1.041346610843927462e-02 9.999922297395029691e-01 3.712303577081748732e-08 6.460406200992843109e-08 2.413624315981510590e-08 4.438372584780007185e-08 1.516199620207712854e-05
1.055505281015629848e-02 9.999895905379801997e-01 3.814295378548768656e-08 6.637855392323405096e-08 2.479919062772338882e-08 4.560278178101324832e-08 1.557842687069555895e-05
1.069856459559610611e-02 9.999869263917704476e-01 3.919094206751795382e-08 6.820186537233759566e-08 2.548037662775010775e-08 4.685537449112551036e-08 1.600631319892418513e-05
1.084402763916134105e-02 9.999842370651722545e-01 4.026777517654068945e-08 7.007534271163365231e-08 2.618030413018495495e-08 4.814242879158875068e-08 1.644597106699901060e-05
1.099146847113493392e-02 9.999815223202592751e-01 4.137424912698856952e-08 7.200036955755017114e-08 2.689949002500875254e-08 4.946489508831515853e-08 1.689772509562637164e-05
1.114091398251883941e-02 9.999787819168576286e-01 4.251118198554243906e-08 7.397836782489147652e-08 2.763846550900571738e-08 5.082375009134233771e-08 1.736190888899655438e-05
1.129239142993853674e-02 9.999760156125268029e-01 4.367941448903900821e-08 7.601079880874934764e-08 2.839777645280149823e-08 5.221999754276978181e-08 1.783886528471290725e-05
1.144592844061424926e-02 9.999732231625351186e-01 4.487981066237715865e-08 7.809916421570492337e-08 2.917798393443099739e-08 5.365466898494669927e-08 1.832894661066036579e-05
1.160155301739971417e-02 9.999704043198411885e-01 4.611325848836447590e-08 8.024500738636478847e-08 2.997966447342992810e-08 5.512882450988655747e-08 1.883251494906868211e-05
1.175929354388950687e-02 9.999675588350697142e-01 4.738067056166981041e-08 8.244991438896433824e-08 3.080341058770923741e-08 5.664355357029480352e-08 1.934994240800588488e-05
1.191917878959576627e-02 9.999646864564917248e-01 4.868298477871248215e-08 8.471551522588803341e-08 3.164983120713418262e-08 5.819997579305200769e-08 1.988161140051171230e-05
1.208123791519533259e-02 9.999617869300002626e-01 5.002116504334261440e-08 8.704348505737731673e-08 3.251955213061652256e-08 5.979924181950867024e-08 2.042791493152363636e-05
1.224550047784821530e-02 9.999588599990895110e-01 5.139620199223727787e-08 8.943554545935902830e-08 3.341321649595037586e-08 6.144253416920361259e-08 2.098925689279892217e-05
1.241199643658837636e-02 9.999559054048317019e-01 5.280911374102985719e-08 9.189346571715638659e-08 3.433148526304990393e-08 6.313106812821551601e-08 2.156605236624591852e-05
1.258075615778781603e-02 9.999529228858535790e-01 5.426094665124067397e-08 9.441906415519219920e-08 3.527503771062958552e-08 6.486609266222219959e-08 2.215872793568968591e-05
1.275181042069493259e-02 9.999499121783137490e-01 5.575277611865137378e-08 9.701420950379471090e-08 3.624457194674158635e-08 6.664889135502969592e-08 2.276772200733199079e-05
1.292519042304821064e-02 9.999468730158810326e-01 5.728570738437719556e-08 9.968082230527731202e-08 3.724080543398162174e-08 6.848078337406204130e-08 2.339348513941483452e-05
1.310092778676621127e-02 9.999438051297073748e-01 5.886087636814362068e-08 1.024208763584252884e-07 3.826447552903881275e-08 7.036312446221508557e-08 2.403648038088326705e-05
1.327905456371494472e-02 9.999407082484084164e-01 6.047945052567460240e-08 1.052364002046979643e-07 3.931634003782548908e-08 7.229730795834631544e-08 2.469718361982339779e-05
1.345960324155364221e-02 9.999375820980356266e-01 6.214262972974505624e-08 1.081294786553568576e-07 4.039717778589214493e-08 7.428476584585778267e-08 2.537608394148977488e-05
1.364260674966003006e-02 9.999344264020552098e-01 6.385164717643029079e-08 1.111022543621763521e-07 4.150778920511910564e-08 7.632696983119548175e-08 2.607368399654483773e-05
1.382809846513614535e-02 9.999312408813215702e-01 6.560777031672001893e-08 1.141569294320177479e-07 4.264899693679042040e-08 7.842543245245782378e-08 2.679050037957563023e-05
1.401611221889583273e-02 9.999280252540543312e-01 6.741230181465978647e-08 1.172957670872772248e-07 4.382164645180008816e-08 8.058170821949253379e-08 2.752706401835891832e-05
1.420668230183496847e-02 9.999247792358115783e-01 6.926658053556088603e-08 1.205210933884691000e-07 4.502660665697074827e-08 8.279739478163264340e-08 2.828392057392043125e-05
1.439984347108564690e-02 9.999215025394670997e-01 7.117198254539528790e-08 1.238352989254058014e-07 4.626477067511129579e-08 8.507413414893193140e-08 2.906163085205461439e-05
1.459563095635533526e-02 9.999181948751831861e-01 7.312992217276141100e-08 1.272408407180431665e-07 4.753705633244353953e-08 8.741361390720513897e-08 2.986077122633082318e-05
1.479408046635224960e-02 9.999148559503865386e-01 7.514185306602404267e-08 1.307402440074791717e-07 4.884440697593890866e-08 8.981756850777761575e-08 3.068193407299851382e-05
1.499522819529809474e-02 9.999114854697408461e-01 7.720926929809256934e-08 1.343361041800503519e-07 5.018779215489525973e-08 9.228778057353721353e-08 3.152572821825722109e-05
1.519911082952933937e-02 9.999080831351216947e-01 7.933370649855924489e-08 1.380310887285578950e-07 5.156820835347368709e-08 9.482608224548083982e-08 3.239277939798770883e-05
1.540576555418826481e-02 9.999046486455903660e-01 8.151674301840936984e-08 1.418279392697873340e-07 5.298667974425873748e-08 9.743435656789927971e-08 3.328373073067097271e-05
1.561523006000497225e-02 9.999011816973675248e-01 8.376000112705260672e-08 1.457294736178703434e-07 5.444425896267293307e-08 1.001145389118876115e-07 3.419924320338764759e-05
1.582754255017161313e-02 9.998976819838053531e-01 8.606514824387215851e-08 1.497385879172914705e-07 5.594202790366655372e-08 1.028686184397935321e-07 3.513999617179004671e-05
1.604274174731007072e-02 9.998941491953616811e-01 8.843389820424425738e-08 1.538582588354415494e-07 5.748109854064486635e-08 1.056986396105334602e-07 3.610668787402179086e-05
1.626086690053439587e-02 9.998905830195722322e-01 9.086801256158782761e-08 1.580915458174116767e-07 5.906261376763921562e-08 1.086067037276253716e-07 3.710003595921675850e-05
1.648195779260926142e-02 9.998869831410227560e-01 9.336930192636304926e-08 1.624415934046071238e-07 6.068774826531182172e-08 1.115949705310223169e-07 3.812077803094638512e-05
