# s Q0 Q2 Q4 Q6 Q8 Q10
1.000000000000000021e-02 1.000000000000000000e+00 3.133403661755677908e-08 1.187895369649314016e-07 2.818198928287265175e-08 1.682739972891738628e-08 4.916710876273767176e-08
1.013596500938556896e-02 9.999751161049048598e-01 3.219488775686254965e-08 1.220517725409469841e-07 2.895599410461485498e-08 1.728961184611344308e-08 5.051729474818476751e-08
1.027377866714885950e-02 9.999500925193003376e-01 3.307943047020625916e-08 1.254037344523155578e-07 2.975129005152405397e-08 1.776454068754623481e-08 5.190461463532384161e-08
1.041346610843927462e-02 9.999249284626222645e-01 3.398831846142527615e-08 1.288478962168204862e-07 3.056846416575029414e-08 1.825253697638233191e-08 5.333009200984342742e-08
1.055505281015629848e-02 9.998996231499861498e-01 3.492222354024476879e-08 1.323867997698620435e-07 3.140811973128282513e-08 1.875396114329187665e-08 5.479477876581310598e-08
1.069856459559610611e-02 9.998741757921635331e-01 3.588183612670787427e-08 1.360230573667596494e-07 3.227087672571721431e-08 1.926918359662656985e-08 5.629975589261006882e-08
1.084402763916134105e-02 9.998485855955577817e-01 3.686786576941531769e-08 1.397593535369677863e-07 3.315737228435895589e-08 1.979858499998261683e-08 5.784613428331393609e-08
1.099146847113493392e-02 9.998228517621817746e-01 3.788104167869691814e-08 1.435984470944421024e-07 3.406826117766897718e-08 2.034255655774965234e-08 5.943505556632187773e-08
1.114091398251883941e-02 9.997969734896333671e-01 3.892211327444613509e-08 1.475431732031170502e-07 3.500421630180591537e-08 2.090150030850003388e-08 6.106769295975389064e-08
1.129239142993853674e-02 9.997709499710709657e-01 3.999185071726142843e-08 1.515964455291830952e-07 3.596592913440202625e-08 2.147582940223485846e-08 6.274525215195886014e-08
1.144592844061424926e-02 9.997447803951903245e-01 4.109104561693373888e-08 1.557612583122602813e-07 3.695411044803058970e-08 2.206596850854821886e-08 6.446897219744730824e-08
1.160155301739971417e-02 9.997184639461997868e-01 4.222051143390974422e-08 1.600406887779112504e-07 3.796949055086025866e-08 2.267235398844084227e-08 6.624012645604486485e-08
1.175929354388950687e-02 9.996919998037961941e-01 4.338108422086293122e-08 1.644378993331300484e-07 3.901282002966614664e-08 2.329543432017219117e-08 6.806002354023093612e-08
1.191917878959576627e-02 9.996653871431411265e-01 4.457362321990124917e-08 1.689561399668652350e-07 4.008487026460147533e-08 2.393567041182745941e-08 6.993000829829699312e-08
1.208123791519533259e-02 9.996386251348344798e-01 4.579901150973908628e-08 1.735987506887630259e-07 4.118643400844691866e-08 2.459353594781611269e-08 7.185146282310138891e-08
1.224550047784821530e-02 9.996117129448918170e-01 4.705815667096769318e-08 1.783691640358817053e-07 4.231832598201469153e-08 2.526951774504388277e-08 7.382580748892913906e-08
1.241199643658837636e-02 9.995846497347187221e-01 4.835199147035700078e-08 1.832709076508862495e-07 4.348138348654157841e-08 2.596411611925743207e-08 7.585450201790853309e-08
1.258075615778781603e-02 9.995574346610850425e-01 4.968147456425344514e-08 1.883076069319395245e-07 4.467646703312333835e-08 2.667784526159418718e-08 7.793904657607196668e-08
1.275181042069493259e-02 9.995300668761016860e-01 5.104759122166454544e-08 1.934829877564996491e-07 4.590446098971605720e-08 2.741123362565258613e-08 8.008098289997567135e-08
1.292519042304821064e-02 9.995025455271934200e-01 5.245135406818022764e-08 1.988008792833511744e-07 4.716627424673275820e-08 2.816482432569784438e-08 8.228189545566644110e-08
1.310092778676621127e-02 9.994748697570748908e-01 5.389380385028176143e-08 2.042652168311368643e-07 4.846284090082525410e-08 2.893917554576008805e-08 8.454341262927791938e-08
1.327905456371494472e-02 9.994470387037248660e-01 5.537601022178717530e-08 2.098800448399822961e-07 4.979512095841719293e-08 2.973486096056111028e-08 8.686720795198304526e-08
1.345960324155364221e-02 9.994190515003601449e-01 5.689907255202561440e-08 2.156495199146380921e-07 5.116410105861566250e-08 3.055247016804892681e-08 8.925500135864868329e-08
1.364260674966003006e-02 9.993909072754105782e-01 5.846412075714714611e-08 2.215779139544296072e-07 5.257079521675852265e-08 3.139260913429220967e-08 9.170856048238095836e-08
1.382809846513614535e-02 9.993626051524927556e-01 6.007231615472435029e-08 2.276696173705711309e-07 5.401624558873126983e-08 3.225590065081635121e-08 9.422970198519014014e-08
1.401611221889583273e-02 9.993341442503833605e-01 6.172485234271267801e-08 2.339291423948500617e-07 5.550152325700509550e-08 3.314298480495091701e-08 9.682029292643029842e-08
1.420668230183496847e-02 9.993055236829946342e-01 6.342295607055368618e-08 2.403611265080864380e-07 5.702772898975590660e-08 3.405451943874159811e-08 9.948225217096659051e-08
